order_id,customer_id,order_date,amount
1,20,2023-03-29,629.02
2,43,2022-10-12,413.42
3,38,2022-07-05,698.98
4,24,2023-08-23,522.78
5,31,2023-03-23,604.0
6,36,2023-10-13,270.58
7,34,2023-05-19,656.01
8,23,2022-04-04,486.59
9,28,2023-04-27,683.5
10,48,2022-12-23,903.96
11,36,2023-02-23,491.99
12,22,2022-12-08,323.25
13,23,2022-11-25,569.27
14,45,2023-11-18,120.17
15,30,2022-04-18,947.97
16,18,2022-06-14,988.27
17,20,2022-12-04,334.2
18,17,2023-02-26,963.93
19,15,2023-12-12,705.8
20,8,2023-05-23,483.99
21,47,2022-10-23,337.02
22,13,2023-11-10,999.4
23,21,2023-02-15,860.67
24,8,2023-07-18,151.32
25,48,2022-02-07,412.3
26,35,2023-04-11,391.01
27,49,2022-04-01,331.08
28,45,2022-11-19,714.32
29,12,2022-09-16,70.84
30,13,2022-11-28,838.54
31,14,2022-04-29,426.02
32,48,2023-02-18,57.69
33,31,2023-06-11,871.81
34,18,2022-01-02,789.4
35,47,2023-11-05,974.92
36,38,2023-07-10,915.09
37,49,2023-04-19,757.91
38,34,2023-02-28,841.2
39,39,2022-02-25,907.79
40,19,2022-07-12,786.95
41,7,2023-06-15,268.61
42,13,2023-01-06,811.84
43,19,2023-09-30,258.05
44,15,2023-05-26,230.63
45,24,2023-10-03,288.1
46,12,2023-03-29,767.8
47,20,2022-02-22,779.1
48,1,2022-07-28,696.81
49,46,2022-10-01,179.94
50,35,2023-07-17,142.31
