project_id,project_name,department_id,budget,start_date,end_date
1,Project 1,5,25597.9,2021-10-21,2024-10-10
2,Project 2,4,73139.01,2021-08-04,2024-09-26
3,Project 3,3,46416.0,2022-03-17,2023-12-10
4,Project 4,3,45113.25,2022-08-17,2023-04-06
5,Project 5,4,87841.22,2022-09-14,2023-08-29
6,Project 6,5,77580.34,2022-11-02,2024-11-19
7,Project 7,5,44025.78,2021-11-26,2023-11-14
8,Project 8,1,44742.77,2022-04-22,2023-08-19
9,Project 9,4,52671.43,2022-03-29,2023-07-23
10,Project 10,5,52192.03,2022-03-29,2023-05-31
11,Project 11,2,43652.42,2022-11-23,2023-01-26
12,Project 12,3,30183.02,2021-08-07,2023-02-17
13,Project 13,1,53635.71,2022-06-08,2023-09-08
14,Project 14,4,95229.09,2022-04-30,2024-05-01
15,Project 15,1,74185.44,2021-06-23,2024-09-17
16,Project 16,5,92224.44,2022-11-06,2023-03-16
17,Project 17,5,69241.19,2021-03-28,2024-04-11
18,Project 18,2,44075.99,2021-10-18,2024-02-29
19,Project 19,3,63834.98,2022-06-12,2024-10-06
20,Project 20,4,20032.48,2022-11-11,2024-08-12
